Jakie jest najwieksze zwierze na swiecie?,Slon,Wieloryb,Tygrys,Niedzwiedz,2
Jak nazywa sie planeta na ktorej zyjemy?,Mars,Wenus,Ziemia,Jowisz,3
Co robi krowa?,Auuu,mmmmPuuu,Muuu,Siuuuu,3
Ile nog ma pajak?,4,6,8,10,3
Ile jest kontynentow na Ziemi?,5,6,7,8,3
Kim gra sie w Minecraft?, Dave, Steve, Rick, John, 2
W ktorym kraju znajduje sie Wieza Eiffla?,Wlochy,Hiszpania,Francja,Niemcy,3
Co robi roslina podczas fotosyntezy?,Oddycha,Pije wode,Odzwyia sie,Slucha muzyki,3
Jak nazywa sie najwyzsza gora na Ziemi?,Kilimandzaro,Mont Blanc,Mount Everest,K2,3
Ile wynosi 7 + 3?,9,10,11,12,2
Ktore zwierze jest znakiem zodiaku,Lew,Slon,Zaba,Kruk,1
Ile godzina ma minut?,10,100,60,600,3
Co jest stolica Polski,Warszawa,Poznan,Berin,Bruksela,1
Ile miesiecy trwa ciaza,1,100,666,9,4
Jaki kształ ma nasza planeta,kwadrat,geoida,plaska,klepsydry,1
Ile to 2+2x2,co?,ja mam 5 lat gosciu,6,8,3
Wskaz zwierze ktore tu nie pasuje, zyrafa,zebra,lew,wieloryb,3
Ile minut gotuje sie jajko na miekko,1,2,3,4,3
Z jakiego kraju pochodzi pizza,Wlochy,Rzym,Neapol,Polska,1
W ktorym roku byl Chrzest Polski,1005,2003,996,966,4
Z czego robi się sok jablkowy,kapusty,jablek,ananas,rodzynki,2
Maciek ma 10lat Ania jest o polowe mlodsza od Macka ile lat bedzie miala Ania za 40lat,10,35,20,sto,2
Czy Robert Lewandowski jest najlepszy,nie,tak,nie,nie,2
Jaka ocene powinnismy dostac za ten projekt,2,3,4,5,4